Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
G,Tim Wilkinson,6400,Golf@Golf 11:30AM ET,83.5,Golf
G,Wesley Bryan,6400,Golf@Golf 11:30AM ET,28.5,Golf
G,Seamus Power,6400,Golf@Golf 11:30AM ET,75,Golf
G,Ryan Brehm,6400,Golf@Golf 11:30AM ET,77.5,Golf
G,Steve Marino,6300,Golf@Golf 11:30AM ET,22,Golf
G,Peter Malnati,6300,Golf@Golf 11:30AM ET,87.5,Golf
G,Will MacKenzie,6300,Golf@Golf 11:30AM ET,33,Golf
G,Sam Saunders,6300,Golf@Golf 11:30AM ET,0,Golf
G,Kelly Kraft,6300,Golf@Golf 11:30AM ET,85,Golf
G,Scott Brown,6300,Golf@Golf 11:30AM ET,64.5,Golf
G,Jason Bohn,6300,Golf@Golf 11:30AM ET,75.5,Golf
G,Brett Stegmaier,6300,Golf@Golf 11:30AM ET,0,Golf
G,Bobby Wyatt,6200,Golf@Golf 11:30AM ET,0,Golf
G,Kyle Reifers,6200,Golf@Golf 11:30AM ET,25,Golf
G,Ryan Blaum,6200,Golf@Golf 11:30AM ET,50,Golf
G,Andrew Loupe,6200,Golf@Golf 11:30AM ET,0,Golf
G,Spencer Levin,6200,Golf@Golf 11:30AM ET,22,Golf
G,David Hearn,6200,Golf@Golf 11:30AM ET,28.5,Golf
G,Boo Weekley,6200,Golf@Golf 11:30AM ET,38,Golf
G,Cameron Percy,6200,Golf@Golf 11:30AM ET,44,Golf
G,Miguel Angel Carballo,6100,Golf@Golf 11:30AM ET,27,Golf
G,Jonas Blixt,6100,Golf@Golf 11:30AM ET,31,Golf
G,Carl Pettersson,6100,Golf@Golf 11:30AM ET,45.5,Golf
G,Troy Merritt,6100,Golf@Golf 11:30AM ET,26,Golf
G,Sung Kang,6100,Golf@Golf 11:30AM ET,27.5,Golf
G,Brad Fritsch,6100,Golf@Golf 11:30AM ET,0,Golf
G,Ken Duke,6100,Golf@Golf 11:30AM ET,57.5,Golf
